"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0033048","negative regulation of mitotic sister chromatid segregation","9/435","50/18860",0.18,7.80413793103448,7.40225298435272,1.8426577231972e-06,0.000371347655135955,0.000306508594573023,"DUSP1/SPC25/CCNB1/MAD2L1/BUB1B/AURKB/SKA3/NUF2/CENPF",9
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition","9/435","50/18860",0.18,7.80413793103448,7.40225298435272,1.8426577231972e-06,0.000371347655135955,0.000306508594573023,"DUSP1/SPC25/CCNB1/MAD2L1/BUB1B/AURKB/SKA3/NUF2/CENPF",9
"GO:2000816","negative regulation of mitotic sister chromatid separation","9/435","50/18860",0.18,7.80413793103448,7.40225298435272,1.8426577231972e-06,0.000371347655135955,0.000306508594573023,"DUSP1/SPC25/CCNB1/MAD2L1/BUB1B/AURKB/SKA3/NUF2/CENPF",9
"GO:0051784","negative regulation of nuclear division","10/435","64/18860",0.15625,6.77442528735632,7.10994507645662,1.91281864036315e-06,0.000371347655135955,0.000306508594573023,"DUSP1/SPC25/CCNB1/MAD2L1/BUB1B/AURKB/CHEK1/SKA3/NUF2/CENPF",10
"GO:0000070","mitotic sister chromatid segregation","17/435","192/18860",0.0885416666666667,3.83884099616858,6.07495404560068,2.38975615924436e-06,0.000410913464075204,0.0003391660257521,"DUSP1/SPC25/ESPL1/KIF14/CCNB1/DLGAP5/MYBL2/MAD2L1/KIF2C/BUB1B/NEK2/AURKB/SKA3/NUF2/CENPF/TPX2/KIF23",17
"GO:0051384","response to glucocorticoid","14/435","133/18860",0.105263157894737,4.56382335148215,6.33735586334999,2.46616836099311e-06,0.000410913464075204,0.0003391660257521,"DUSP1/CEBPA/GHR/AVPR1A/IL1RN/FOSB/S100B/NTRK3/MDK/FAM107A/AQP1/SLIT3/NR3C1/BMP6",14
"GO:1901991","negative regulation of mitotic cell cycle phase transition","17/435","193/18860",0.0880829015544041,3.81895062831279,6.04824076302071,2.56598284135342e-06,0.000410913464075204,0.0003391660257521,"DUSP1/E2F7/SPC25/CDC14B/CCNB1/MAD2L1/FAM107A/BUB1B/AURKB/CHEK1/BLM/SKA3/NUF2/CENPF/EZH2/IER3/PKMYT1",17
"GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","9/435","52/18860",0.173076923076923,7.50397877984085,7.21621875130649,2.59767350269972e-06,0.000410913464075204,0.0003391660257521,"DUSP1/SPC25/CCNB1/MAD2L1/BUB1B/AURKB/SKA3/NUF2/CENPF",9
"GO:1905819","negative regulation of chromosome separation","9/435","52/18860",0.173076923076923,7.50397877984085,7.21621875130649,2.59767350269972e-06,0.000410913464075204,0.0003391660257521,"DUSP1/SPC25/CCNB1/MAD2L1/BUB1B/AURKB/SKA3/NUF2/CENPF",9
"GO:0031960","response to corticosteroid","15/435","154/18860",0.0974025974025974,4.2230183609494,6.17067801370473,2.88611669839666e-06,0.000416335534046163,0.000343641376608609,"DUSP1/CEBPA/GHR/AVPR1A/IL1RN/FOSB/S100B/NTRK3/MDK/FAM107A/SCNN1A/AQP1/SLIT3/NR3C1/BMP6",15
